industry,customer_count,avg_transaction_value,num_transactions,marketing_spend,customer_satisfaction,churn_rate,fraud_cases,issue_identified,cluster
Telecom,29310,190.39765559069207,1579,195503.84993406147,2.473352363245771,0.20022343882511998,44,High Acquisition Cost,0
E-commerce,23927,173.94183919246106,1401,389177.7162146828,1.7768644613754805,0.3429325305844604,32,High Acquisition Cost,1
Healthcare,2094,482.67968579513047,1721,218667.6224840107,7.64397014986308,0.12179532684694874,41,High Acquisition Cost,1
E-commerce,39892,327.95824699682925,1661,169452.7432128105,3.458816485056839,0.13709254142685603,4,Fraud Risk,0
E-commerce,35172,31.24781857634634,1853,208604.73492751847,6.614762874555964,0.19429999115191407,36,High Acquisition Cost,1
Banking,24324,226.48443605327034,1516,303408.14965924365,7.261825041929626,0.15899113337818635,16,Operational Inefficiency,1
Healthcare,21674,440.0041758771057,1016,499903.5463462318,3.897196872236396,0.13440063130113666,21,High Customer Churn,1
Healthcare,4982,164.6989694771206,194,249031.25240674324,8.33630137683206,0.03433766589139656,13,Low Sales,2
Healthcare,46283,65.38704549170635,1879,108204.76510235897,5.9499008390279515,0.42000570255870495,37,High Acquisition Cost,0
E-commerce,16790,384.0246903631605,1058,85609.0547631519,8.820994671566226,0.04150775013672932,31,Fraud Risk,0
Telecom,13205,310.886639329319,1230,25963.12500082507,7.869641973030527,0.44480910264545415,13,Low Sales,0
Healthcare,25338,293.75000375672187,1513,281614.5312845691,8.817180688337084,0.07147804064334952,43,Fraud Risk,1
E-commerce,13748,45.7167486115558,1883,274563.18528697296,1.1814524390610468,0.041978251160702924,19,Low Sales,1
Banking,22097,87.43952470184831,1649,106590.79375625303,3.1915563466473524,0.2858723343505416,21,Low Sales,0
Telecom,4092,318.82371018229463,1796,349188.05619402067,1.8100714640134477,0.25619647836161363,29,High Customer Churn,1
Banking,23692,119.75544390024119,170,371847.985606692,4.978747154704143,0.25070493872762367,32,Low Sales,2
Telecom,24862,261.9536382792437,763,133253.61166414508,9.009641094537864,0.29150712047568494,4,Operational Inefficiency,0
E-commerce,25860,281.54320929410886,1068,175329.3831947196,5.207862360401823,0.1506577369983863,17,Operational Inefficiency,0
Retail,14971,156.0834513300509,686,495283.47781189205,8.647417401223546,0.33484514398050946,45,Operational Inefficiency,2
Telecom,15616,475.2440746599166,1499,190260.91158611342,3.944604142173861,0.25617708765651975,6,Fraud Risk,0
Banking,5933,424.3827712810761,826,381596.8275192704,4.056130655247272,0.17402429880908937,28,High Customer Churn,2
E-commerce,5926,366.73928366374327,467,229099.08618182028,9.060055572941899,0.4149853268205568,46,Fraud Risk,2
Telecom,26763,57.43705587651636,150,397705.6897911831,4.832354318605314,0.36658333720008796,8,High Acquisition Cost,2
Retail,4969,70.94240926832933,1266,385666.5031974107,8.107889390151996,0.20286906755286477,46,Operational Inefficiency,1
Retail,36733,256.53504601517875,1542,335539.2324732751,3.1297919309371123,0.4253327147621477,47,High Customer Churn,1
Healthcare,5319,97.14240761167312,1671,428115.28141631174,9.53920746709872,0.46092654255476934,40,Operational Inefficiency,1
Healthcare,42743,489.56742249414754,1623,469913.1549644542,6.17120421877514,0.2730644708713376,6,High Customer Churn,1
